r1,r2,K1
0.209895776,0.218679736,2828.7131
0.189982288,0.275828293,4123.536987
0.208194905,0.172364845,5134.03087
0.163972394,0.277899523,5801.880708
0.164303857,0.224788877,8562.097821
0.202203417,0.207011619,4332.462084
0.191752996,0.251948536,3646.700126
0.16411835,0.231228116,5415.188389
0.166592596,0.255159177,3213.412324
0.186213424,0.236284798,1550.749417
0.14747439,0.272579539,6449.110311
0.197032874,0.242390229,1854.086879
0.178137645,0.145670648,7723.353848
0.183704671,0.158750123,5227.83412
0.16863785,0.24026131,6703.114048
0.214131347,0.191297934,2259.31471
0.192424013,0.25395777,1002.130908
0.171898199,0.229407416,4054.901533
0.203370263,0.182709767,4457.510373
0.210971913,0.259575671,1325.727355
0.171917079,0.271134362,6496.349357
0.198659765,0.149252449,7443.061161
0.178512453,0.151801612,1726.95874
0.167520809,0.157028607,6785.278377
0.152752655,0.238633515,6136.00771
0.20079539,0.212939914,4994.552262
0.171547735,0.218361511,6882.303373
0.174208708,0.269013279,5162.198705
0.203571959,0.180609019,1704.209261
0.170773126,0.19790499,7439.907444
0.198668781,0.220973976,5306.53046
0.183745115,0.238426404,2649.304976
0.195811965,0.182731592,1833.148942
0.150125022,0.269542687,7941.009822
0.227150689,0.193222586,2293.35063
0.186688553,0.1979963,1678.707923
0.204805826,0.1905244,5611.740551
0.186934676,0.257645768,6458.372762
0.194699671,0.226483593,6890.149256
0.15093507,0.2442469,5189.518078
0.167615918,0.252338589,2679.734549
0.202091528,0.189214247,6310.254517
0.1682866,0.214829693,8742.245549
0.237940224,0.182127674,1098.26433
0.194480634,0.201972023,6416.401702
0.165761425,0.234702086,4809.252983
0.162093209,0.246298137,5128.481744
0.202264285,0.238217121,1930.507503
0.155297836,0.222461521,5028.454762
0.183675516,0.180659787,3419.487432
0.191698823,0.171339211,8361.918474
0.16023736,0.261602088,8572.151219
0.174311105,0.144766537,3714.336963
0.170717478,0.256506862,7399.080921
0.163152758,0.156731346,5065.984137
0.186998304,0.245372396,2902.451188
0.170920174,0.201620128,8566.842755
0.171522695,0.191295822,7349.926564
0.154822232,0.218102628,5738.415442
0.15810247,0.268968371,5255.845476
0.198442816,0.245748796,2423.397192
0.17494636,0.234967334,6363.436476
0.148857408,0.278161901,5606.728666
0.211119286,0.172284406,3005.53048
0.209242601,0.174634843,5025.172227
0.201787252,0.164018864,7168.586035
0.175591269,0.272565366,6124.48303
0.199918466,0.153560843,4491.235741
0.181986985,0.225923766,5735.981533
0.204324277,0.16189188,3408.313941
0.18490609,0.25989834,5368.641525
0.201568068,0.173412612,4607.641899
0.217104462,0.203099831,2011.144338
0.18300542,0.184816684,1750.59532
0.159100035,0.240427479,1902.477959
0.185573933,0.220146176,8397.589848
0.16786569,0.252775208,1690.862094
0.169811206,0.219562806,6021.966306
0.198443987,0.216730088,5819.699073
0.215358946,0.191133179,3857.234454
0.189287304,0.271468208,3812.679218
0.172804271,0.235146497,5543.131363
0.210233567,0.268672807,2353.835709
0.212079541,0.190771695,4380.664381
0.200544262,0.207273332,7616.704557
0.197047299,0.163512846,6707.299102
0.170285795,0.248997031,5983.318433
0.16689145,0.212992506,5752.313142
0.158091344,0.236781922,2484.704417
0.180676394,0.233428139,6597.951213
0.196279367,0.231511671,1250.784567
0.173275699,0.224965017,3417.535309
0.195742648,0.180741694,5305.742331
0.162608838,0.206334937,8115.787102
0.14690058,0.246336302,4254.055219
0.198294129,0.189074081,7235.478957
0.192598877,0.271376968,1370.412842
0.166469452,0.15994241,8802.778172
0.17053347,0.272911369,5638.228139
0.207093032,0.170754578,2270.248436
0.164443522,0.231722341,3170.253693
0.22098721,0.235247937,1535.386294
0.208107563,0.149680236,1681.213222
0.188523105,0.155209282,6939.007867
0.196813986,0.163175783,4008.76129
0.206780818,0.232205926,2632.227213
0.161692517,0.215589899,8494.878548
0.199274019,0.208763862,7769.04284
0.229268399,0.230841535,1667.593025
0.209501698,0.269008999,2221.230645
0.165996758,0.192943577,8856.068083
0.189059383,0.145485178,4585.550249
0.183606205,0.168673735,4803.044027
0.153008371,0.235398693,4484.893683
0.149835475,0.226868741,8316.716601
0.174196652,0.260747215,1337.883909
0.184279703,0.264246404,2362.70864
0.202060634,0.229461099,6857.198654
0.214048378,0.233331643,1078.078247
0.184096508,0.224478069,4712.533879
0.195112515,0.183645265,7293.021304
0.146136191,0.260311106,8943.970184
0.193973218,0.250236174,1361.423347
0.162534688,0.270770952,6269.375933
0.169275491,0.238106153,5331.947296
0.23812193,0.241384436,1177.37583
0.201197361,0.264082804,2708.959151
0.160403912,0.215783209,6630.907484
0.199485823,0.160879561,7508.660277
0.149299834,0.261491931,7233.251827
0.15546087,0.244635769,2396.887011
0.201621405,0.247827337,6379.299835
0.18334162,0.173646341,8211.485838
0.169391222,0.159100077,4910.374945
0.190023981,0.189472934,7440.518311
0.186215102,0.215319305,2011.30778
0.190028474,0.196246309,8513.229104
0.18141839,0.153698931,4069.848634
0.206348416,0.174773714,2679.34337
0.161573851,0.222029432,2211.690887
0.174563384,0.173241351,4732.269118
0.146127848,0.244607898,5697.904087
0.207132532,0.251074519,1333.931392
0.213944649,0.14062714,3277.121894
0.203254514,0.17010104,3415.203711
0.165382336,0.246864897,7238.138437
0.20076374,0.157172019,7662.901833
0.177299064,0.207033441,8695.550977
0.19484597,0.210473425,2132.441927
0.2120306,0.147318948,4164.585717
0.178771656,0.209497475,4163.516522
0.227506989,0.18740585,1820.89185
0.160674681,0.239228197,2358.261244
0.145217476,0.263544508,8032.524607
0.181218302,0.157867858,3524.039665
0.195470873,0.179924275,5762.128963
0.16690257,0.21777441,7866.431639
0.18015395,0.177038718,4199.138009
0.171806541,0.270972412,7504.159162
0.1782782,0.162669633,1639.283912
0.16680059,0.177230622,2393.046214
0.231282747,0.278711557,1112.726785
0.23009926,0.218269822,1900.054124
0.194200486,0.185631036,8301.763976
0.207670243,0.222463508,1980.061413
0.197577292,0.23594985,2142.242236
0.209978665,0.160471979,4818.673735
0.158695248,0.197040679,7662.28261
0.186271394,0.190703842,5399.4555
0.185917024,0.204028125,7702.510048
0.194336587,0.188223814,3206.687141
0.163276389,0.147055301,7540.506868
0.210781145,0.153102073,2354.29775
0.16966809,0.162915314,8759.046879
0.179081413,0.228454363,3103.569832
