cart_dose,sp_value,response,t9,t12,t15,t18,t21,t_final_30
0.02,0.85893,NR,143.03726,244.10835,411.12308,677.16775,1076.8318,3008.5436
0.02,0.86905,NR,142.77375,243.42085,409.58087,674.07761,1071.3085,2995.558
0.02,0.87917,NR,142.50978,242.7323,408.03615,670.9808,1065.767,2982.4133
0.02,0.88929,NR,142.24524,242.04249,406.48851,667.87665,1060.206,2969.105
0.02,0.8994,NR,141.98,241.35114,404.93748,664.76432,1054.6243,2955.6229
0.02,0.90952,NR,141.71389,240.65788,403.38236,661.64259,1049.0198,2941.9672
0.02,0.91964,NR,141.44663,239.96218,401.82217,658.50981,1043.3899,2928.1272
0.02,0.92976,NR,141.17785,239.26325,400.25545,655.36344,1037.7304,2914.0917
0.02,0.93988,NR,140.90693,238.55982,398.67987,652.19948,1032.0351,2899.8448
0.02,0.95,NR,140.63284,237.8498,397.09156,649.01127,1026.2931,2885.3617
0.03,0.1,PR,67.4627,50.8349,38.5671,29.3354,22.3374,9.8904
0.03,0.11012,PR,67.6411,50.8809,38.5834,29.344,22.3432,9.8928
0.03,0.12024,PR,68.0619,51.0998,38.7284,29.4499,22.4228,9.9278
0.03,0.13036,PR,68.7813,51.5307,39.031,29.6747,22.5927,10.0026
0.03,0.14048,PR,69.8766,52.2269,39.5303,30.048,22.8752,10.1271
0.03,0.1506,PR,71.4579,53.2644,40.2821,30.6118,23.3023,10.3152
0.03,0.16071,PR,73.6889,54.7556,41.3689,31.4279,23.9207,10.5876
0.03,0.17083,PR,76.824,56.8756,42.9184,32.5924,24.8033,10.9763
0.03,0.18095,PR,81.2813,59.9126,45.1404,34.2626,26.0691,11.5336
0.03,0.19107,PR,87.7787,64.3662,48.3973,36.7098,27.9233,12.3496
0.03,0.20119,PR,97.4044,71.0202,53.2509,40.3531,30.6825,13.563
0.03,0.21131,PR,106.9502,77.62405,58.02009,43.92167,33.38207,14.749
0.03,0.22143,PR,112.2648,81.14071,60.48625,45.75063,34.76212,15.3545
0.03,0.23155,PR,116.7691,84.05687,62.48574,47.22313,35.87095,15.8406
0.03,0.24167,PR,121.4759,87.15414,64.58635,48.76453,37.03042,16.3484
0.03,0.25179,PR,126.8012,90.83062,67.06744,50.58182,38.3966,16.9466
0.03,0.2619,PR,132.9868,95.48296,70.19799,52.87188,40.11739,17.6997
0.03,0.27202,PR,140.0627,101.6653,74.34559,55.90141,42.39259,18.6948
0.03,0.28214,PR,147.483,110.3163,80.12549,60.1139,45.55371,20.0762
0.03,0.29226,PR,153.3975,123.2656,88.72899,66.36249,50.23705,22.1206
0.03,0.30238,PR,155.8051,144.7561,102.9394,76.62485,57.91363,25.4657
0.03,0.3125,PR,156.0036,187.1891,131.5472,97.08089,73.16181,32.091
0.03,0.32262,NR,155.8649,270.2577,231.5722,167.5517,125.271,54.5969
0.03,0.33274,NR,155.69079,275.031,477.72027,807.69411,1305.2589,3469.0335
0.03,0.34286,NR,155.49991,274.86041,478.12983,809.36314,1308.6045,3474.3983
0.03,0.35298,NR,155.30298,274.5301,477.68913,808.71642,1307.5128,3471.9881
0.03,0.3631,NR,155.1021,274.13178,476.95793,807.36405,1305.1489,3467.5277
0.03,0.37321,NR,154.89924,273.69711,476.08576,805.67937,1302.1969,3462.1286
0.03,0.38333,NR,154.69522,273.24249,475.13435,803.812,1298.9213,3456.206
0.03,0.39345,NR,154.4906,272.77619,474.13817,801.83788,1295.4563,3449.9453
0.03,0.40357,NR,154.28588,272.30493,473.11793,799.80372,1291.8804,3443.4736
0.03,0.41369,NR,154.08119,271.83273,472.08737,797.73998,1288.2453,3436.8642
0.03,0.42381,NR,153.87641,271.36267,471.05763,795.67008,1284.591,3430.1713
0.03,0.43393,NR,153.67115,270.89735,470.03812,793.61406,1280.951,3423.4438
0.03,0.44405,NR,153.46479,270.43919,469.03641,791.59124,1277.3578,3416.7345
0.03,0.45417,NR,153.25622,269.98907,468.06354,789.62336,1273.85,3410.0944
0.03,0.46429,NR,153.04364,269.54869,467.1291,787.73828,1270.4769,3403.6123
0.03,0.4744,NR,152.82348,269.11465,466.24578,785.97234,1267.3108,3397.4003
0.03,0.48452,NR,152.59378,268.68053,465.4278,784.3934,1264.4933,3391.7239
0.03,0.49464,NR,152.35479,268.21854,464.66208,783.06908,1262.2347,3387.0318
0.03,0.50476,NR,152.11002,267.68239,463.69775,781.40958,1259.4457,3381.4501
0.03,0.51488,NR,151.86166,267.07051,462.40059,778.8887,1255.0735,3373.3905
0.03,0.525,NR,151.60711,266.42674,460.98766,776.10883,1250.2726,3364.6755
0.03,0.53512,NR,151.35147,265.77143,459.53709,773.25331,1245.3464,3355.7204
0.03,0.54524,NR,151.09515,265.11019,458.06787,770.36143,1240.3581,3346.6217
0.03,0.55536,NR,150.83807,264.44548,456.5889,767.44913,1235.332,3337.3963
0.03,0.56548,NR,150.58067,263.77777,455.10297,764.5223,1230.2775,3328.0646
0.03,0.5756,NR,150.32289,263.10876,453.61185,761.5855,1225.2007,3318.6196
0.03,0.58571,NR,150.06481,262.43817,452.11771,758.63989,1220.1039,3309.078
0.03,0.59583,NR,149.80652,261.76591,450.61975,755.68645,1214.9888,3299.4271
0.03,0.60595,NR,149.54796,261.09341,449.11997,752.72735,1209.8578,3289.6784
0.03,0.61607,NR,149.28903,260.41921,447.61726,749.76104,1204.7095,3279.8213
0.03,0.62619,NR,149.02997,259.745,446.11297,746.78993,1199.5464,3269.8677
